"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0989468","110","954","316","0.0706761","0.100465","2697","2527","0","0","0","0","0","0.291252","0.261458","8905","556","1353","0","0","0","0","0","0","0","0","0","1","0","0","25154","38160","953","781","111","16","205","140","17","2542","12708","181","212","8","11","27","2130","75","0","64","8887","265","3700","2758","861","113","12","191","6","88","0","0"
"L104","com","com","L100","L103","0.0989468","110","954","316","0.0706761","0.100465","2697","2527","0","0","0","0","0","0.291252","0.261458","8905","556","1353","0","0","0","0","0","0","0","0","0","1","0","0","25154","38160","953","781","111","16","205","140","17","2542","12708","181","212","8","11","26","2130","75","0","64","8887","265","3700","2758","861","113","12","191","6","88","0","0"
"L105","google","com.google","L104","L103","0.0989468","110","954","316","0.0706761","0.100465","2697","2527","0","0","0","0","0","0.291252","0.261458","8905","556","1353","0","0","0","0","0","0","0","0","0","1","0","0","25154","38160","953","781","111","16","205","140","17","2542","12708","181","212","8","11","25","2130","75","0","64","8887","265","3700","2758","861","113","12","191","6","88","0","0"
"L106","gson","com.google.gson","L105","L103","0.0989468","110","954","316","0.0722892","0.10084","12","12","0.581864","0.489582","3360","231","166","0.291252","0.261458","8905","556","1353","3503","7619","114","94","2","56","8","429","19","15","393","17","25154","38160","953","781","111","16","205","140","17","2542","12708","181","212","8","11","24","2130","75","0","64","8887","265","3700","2758","861","113","12","191","6","88","0","0"
"L182","codegen","com.google.gson.codegen","L106","L103","0.0743169","1","10","2","0","0","0","0","0.703704","0.279159","146","19","8","0.655172","0.306228","177","19","10","377","582","10","3","1","1","0","34","4","1","23","0","401","647","12","5","25","1","6","3","0","38","214","4","4","0","0","1","27","0","0","1","87","6","12","8","3","1","0","5","0","2","0","0"
"L564","examples","com.google.gson.examples","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1875","0.298507","60","3","13","0","0","0","0","0","0","0","0","0","1","0","0","141","228","7","3","19","0","3","8","0","14","64","1","3","0","0","2","13","0","0","2","41","1","15","1","5","2","0","2","0","8","0","0"
"L688","extras","com.google.gson.extras","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.294118","15","0","2","0","0","0","0","0","0","0","0","0","1","0","0","36","56","2","2","20","0","1","0","0","3","16","0","1","0","0","2","2","0","0","0","12","2","2","2","0","2","0","0","0","0","0","0"
"L741","graph","com.google.gson.graph","L106","L103","0","0","0","0","0","0","0","0","0.0714286","0.222973","99","1","13","0.0714286","0.222973","99","1","13","345","507","17","14","0","0","0","26","0","0","18","0","345","507","17","14","24","0","2","0","0","26","170","0","2","0","0","0","18","0","0","1","87","0","38","22","13","2","0","2","0","0","0","0"
"L1123","interceptors","com.google.gson.interceptors","L106","L103","0","0","0","0","0","0","0","0","0.3","0.340351","97","6","14","0.3","0.340351","97","6","14","188","321","16","12","0","0","1","20","0","0","20","1","188","321","16","12","24","0","4","0","1","20","60","0","4","0","1","0","20","1","0","0","76","2","29","11","18","2","0","0","0","0","0","0"
"L1351","typeadapters","com.google.gson.typeadapters","L106","L103","0.279612","9","37","12","0","0","0","0","0.222222","0.291667","273","8","28","0.222222","0.291667","273","8","28","663","1041","17","14","0","0","0","50","3","0","39","0","663","1041","17","14","24","0","6","0","0","50","325","3","6","0","0","0","39","0","0","8","243","10","46","34","13","9","0","7","0","1","0","0"
"L1825","internal","com.google.gson.internal","L106","L103","0.145183","37","334","76","0","0","0","0","0.37037","0.259471","952","50","85","0.297794","0.227094","1673","81","191","2717","4127","75","67","0","24","2","286","3","2","202","2","5694","8202","202","147","34","0","46","33","2","537","2929","62","44","0","2","3","418","2","0","9","1927","46","492","258","205","22","5","40","6","11","0","0"
"L5425","annotations","com.google.gson.annotations","L106","L103","0","0","0","0","0","0","0","0","1","0.832061","327","7","0","1","0.832061","327","7","0","66","420","0","0","0","0","0","8","0","0","2","0","66","420","0","0","18","0","6","0","0","8","0","0","0","0","0","0","2","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0"
"L6572","reflect","com.google.gson.reflect","L106","L103","0.104152","1","2","2","0","0","0","0","0.55","0.367454","140","11","9","0.55","0.367454","140","11","9","241","433","9","8","0","5","0","26","0","0","18","0","241","433","9","8","24","0","3","5","0","26","123","0","2","0","0","0","18","0","0","0","68","3","43","28","10","1","0","1","0","6","0","0"
"L6739","stream","com.google.gson.stream","L106","L103","0.219983","56","415","169","0.0477076","0.0708955","77","76","0.229075","0.204545","972","52","175","0.229075","0.204545","972","52","175","3780","5172","76","9","2","2","0","256","13","0","222","5","3780","5172","76","9","24","2","8","2","0","256","2413","13","6","1","0","0","222","5","0","16","902","27","567","547","31","6","0","18","0","8","0","0"
"L7456","common","com.google.gson.common","L106","L103","0.111111","2","4","2","0","0","0","0","0.056338","0.117073","48","4","67","0.056338","0.117073","48","4","67","362","475","40","23","0","12","0","48","30","0","48","0","362","475","40","23","18","0","2","12","0","48","141","30","23","0","0","0","48","0","0","2","248","3","35","6","10","1","0","2","0","21","0","0"
"L7822","functional","com.google.gson.functional","L106","L103","0.0492405","17","78","36","0","0","0","0","0.146575","0.133661","1277","107","623","0.146575","0.133661","1277","107","623","8277","11008","302","401","8","15","5","979","31","0","840","40","8277","11008","302","401","18","8","54","15","5","979","4027","31","63","4","0","0","840","40","0","7","3765","96","1712","1376","327","20","4","79","0","9","0","0"
"L13237","metrics","com.google.gson.metrics","L106","L103","0.207769","6","46","10","0.0635838","0.0839695","22","22","0.459459","0.169246","175","17","20","0.459459","0.169246","175","17","20","859","1144","116","41","2","2","1","72","16","0","45","5","859","1144","116","41","26","2","6","2","1","72","412","16","6","0","0","0","45","5","0","8","407","28","132","22","111","16","0","5","0","14","0","0"
"L14024","regression","com.google.gson.regression","L106","L103","0","0","0","0","0","0","0","0","0","0.333333","18","0","3","0","0.333333","18","0","3","36","62","3","3","0","0","0","4","0","0","3","0","36","62","3","3","18","0","1","0","0","4","10","0","1","0","0","0","3","0","0","0","17","1","3","2","2","0","0","0","0","0","0","0"
"L14071","protobuf","com.google.gson.protobuf","L106","L103","0.0142755","1","6","1","0.0263158","0.0434783","11","11","0.636364","0.341146","131","7","4","0.321429","0.256614","194","9","19","253","418","14","2","1","4","0","15","2","1","8","2","562","825","20","5","25","1","4","4","0","32","181","2","5","1","0","1","22","5","0","1","85","5","51","32","20","1","0","4","0","0","0","0"
"L538","functional","com.google.gson.codegen.functional","L182","L103","0","0","0","0","0","0","0","0","0","0.563636","31","0","2","0","0.563636","31","0","2","24","65","2","2","0","2","0","4","0","0","4","0","24","65","2","2","19","0","2","2","0","4","5","0","1","0","0","0","4","0","0","0","12","2","0","2","0","0","0","0","0","0","0","0"
"L565","android","com.google.gson.examples.android","L564","L103","0","0","0","0","0","0","0","0","0.5","0.363636","20","1","1","0.1875","0.298507","60","3","13","35","61","0","1","0","0","0","2","0","1","1","0","141","228","7","3","19","0","3","8","0","14","64","1","3","0","0","1","13","0","0","2","41","1","15","1","5","2","0","2","0","8","0","0"
"L689","examples","com.google.gson.extras.examples","L688","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.294118","15","0","2","0","0","0","0","0","0","0","0","0","1","0","0","36","56","2","2","20","0","1","0","0","3","16","0","1","0","0","1","2","0","0","0","12","2","2","2","0","2","0","0","0","0","0","0"
"L2107","bind","com.google.gson.internal.bind","L1825","L103","0.100253","25","192","48","0","0","0","0","0.173228","0.156368","496","22","105","0.204545","0.17573","614","27","105","2676","3494","120","74","0","6","0","234","59","1","206","0","2880","3847","122","75","27","0","19","6","0","242","1442","59","19","0","0","1","210","0","0","4","986","11","191","121","62","1","1","14","6","1","0","0"
"L5015","reflect","com.google.gson.internal.reflect","L1825","L103","0","0","0","0","0","0","0","0","0.8","0.52451","107","4","1","0.8","0.52451","107","4","1","97","228","5","5","0","3","0","9","0","0","6","0","97","228","5","5","26","0","4","3","0","9","31","0","2","0","0","0","6","0","0","0","21","3","2","1","1","3","0","0","0","0","0","0"
"L14228","functional","com.google.gson.protobuf.functional","L14071","L103","0","0","0","0","0","0","0","0","0.117647","0.169355","63","2","15","0.117647","0.169355","63","2","15","309","407","6","3","0","0","0","17","0","0","14","3","309","407","6","3","19","0","3","0","0","17","76","0","3","0","0","0","14","3","0","1","44","4","35","32","4","0","0","4","0","0","0","0"
"L611","model","com.google.gson.examples.android.model","L565","L103","0","0","0","0","0","0","0","0","0.142857","0.273973","40","2","12","0.142857","0.273973","40","2","12","106","167","7","2","0","8","0","12","1","0","12","0","106","167","7","2","19","0","2","8","0","12","46","1","2","0","0","0","12","0","0","2","34","1","5","1","3","2","0","2","0","0","0","0"
"L690","rawcollections","com.google.gson.extras.examples.rawcollections","L689","L103","0","0","0","0","0","0","0","0","0","0.294118","15","0","2","0","0.294118","15","0","2","36","56","2","2","0","0","0","3","0","0","2","0","36","56","2","2","20","0","1","0","0","3","16","0","1","0","0","0","2","0","0","0","12","2","2","2","0","2","0","0","0","0","0","0"
"L3764","util","com.google.gson.internal.bind.util","L2107","L103","0.374793","3","10","3","0.206799","0.295566","73","60","1","0.36646","118","5","0","1","0.36646","118","5","0","204","353","2","1","0","0","0","8","0","0","4","0","204","353","2","1","20","0","1","0","0","8","149","0","1","0","0","0","4","0","0","1","29","1","4","1","4","0","0","1","0","0","0","0"
